ID,CHUCK_NORRIS_JOKES
"cnsjx8ezt_sf4ifbckntta","Chuck Norris does not ""style"" his hair. It lays perfectly in place out of sheer terror."
"HbdU4VQ0Q6C6wyGfGLKUGw","When Chuck Norris calls you, you have two options: either yes, or yes. Choose one if you want to live ..."
"nixwdo9aTjGGxjL0UjSrvQ","Chuck Norris has two speeds. Walk, and Kill."
"RS-ojXNRSDaJgS8DkF0X5Q","Chuck Norris' penis has a Ph.D in gynecology"
"wFHBFxoTSHu6YUEWoDFreA","Chuck Norris was constipated only once. So he ate 5 pounds of chocolated Exlax but it only resulted in one single ""shart""."
"hHPoJFjFSRSMEYulehMGFw","Chuck Norris the reason why jason bourne can't remember his identity."
"6aV1Skh_R4KVmxbjnX5TGA","Chuck Norris' hand is the only hand that can beat a royal flush."
"Sfx6H9w-Szukf7o_SjEvUg","Chuck Norris has no enemies, he only has victims"
"O0nDVYeJSSaCN35WAb6u9A","Chuck Norris can sharpen James Blunt."
"g2w15WGuSgmpfjkiJHtzvQ","Chuck Norris isn't really a Texas Ranger, although mentioning such blasphamy in a bar setting will undoubtably start a riot. I highly recomend trying it out if you have balls 1/8th the size of Chuck's."
"rvs7ERnISZKiO1JKWKR-DA","Chuck Norris walked into a bar. everyone died and the bar exploded into a bar. the end."
"qNgPyDMuQWu8FXIQlHhJIQ","Chuck Norris can blow candles back on."
"RF3_YjYlS_SufzREhV1NUQ","Chuck Norris loves all that shit Andrew Zimmern eats on bizzare foods."
"L5UIWlaxRqGEjx56MstovQ","When Chuck Norris goes for a swim, the sharks panic. You wanna defy gravity? Let Chuck Norris give you a roundhouse. No Wait, no one ""LETS"" Chuck, he just does."
"iPmlfBX6Sme9V8pccqOgCg","After Chuck Norris uses his beard to unscramble eggs, it's impossible for anybody other than Chuck Norris to scramble them again."
"Dd_5DpUFQFCh7q8bTyYdLw","Chuck Norris doesn't get wet, Water gets Chuck Norrised"
"-NBlNyx1TUyW_8lGoOkvOw","Chuck Norris invented cranberries by uprooting a cherry tree and throwing it into a farm pond."
"zmo94t-IQR2xuMkEIPr10g","Sarah Palin has hired Chuck Norris to prepare her Alaskan Thankgiving Day dinner because he is the only person alive that can cram a 1,200 pound moose in her oven."
"Kqck_igkQNCw6Y0ADR2iyA","The Terminator wears a Chuck Norris tee shirt. ."
"wGKEmVIWT_mo5B-c7QPT6Q","Chuck Norris doesnt need a guard dog a guard dog needs him"
