ID,CHUCK NORRIS JOKE
"3iqUHCZoQjWW0zlHUZsMoQ","one day as a joke Chuck Norris peed in a truck, today we know that truck as optimums prime"
"sUsd9Z1XTgWkGfz4KWUDqA","Giving Chuck Norris head is the leading cause of amnesia."
"9OjQxGPnRpC0d4x69cPMIw","Chuck Norris actually died four years ago, but the Grim Reaper can't get up the courage to tell him."
"0vavAAKEQFGIQr01u1Pg5A","Chuck Norris doesn't play billiards, as he pots all the balls on his first shot. You won't see this, you would have already been killed by the rebounding cueball."
"nwklry_-spcowdv1lhuwsw","Chuck Norris can solve the Towers of Hanoi in one move."
"j39yav35q4cflrhx6zol_a","Chuck Norris's brain waves are suspected to be harmful to cell phones."
"bUzqP81ETf-Qa3y5RvbK0Q","When Chuck Norris claps with one hand, the sound is deafening."
"0sumrRm8Rp6x4-IH46_kdg","Chuck Norris. The mere whisper of his terrifying name can make a hardened marine cry out in the night, impregnate a virgin and shatter all the glass within a five-mile radius."
"8ezkpJKrSAi-1ifiaeOk9Q","I hate Chuck Norris! And now I'm dead in 2 seconds"
"_O1P4-aSTfWJ38BeZPDB4Q","Chuck Norris showed musical talent at a very young age. He was humming ""Bad To The Bone"" when his Doctor delivered him."
"5AtwoisSSjq0qFW4K6r9Rg","Before he became Chuck Norris, Chuck Norris was Chuck Norris."
"1afrLeS4QEm5Zh4EsnsNfw","Chuck Norris' Hummer doesn't have a steering wheel, he drives while laying in the back seat using an N64 controller."
"pCgZ_c8XRzO9U9W9tD_48w","Chuck Norris went to court once, and he lost. He roundhouse kicked the judge in the head so hard that all of justice became blind."
"Ik_eMa_qRTmNFQL5UmIMRA","Chuck Norris is what Willis was talking about."
"Q__C0lwlSB294ZGqX4NkqQ","Chuck Norris speaks every language on Earth, and three more that no one else speaks."
"qsDNqQTrTpiUc0wAeGMACA","Chuck Norris can't wait to find out what it's actually like to wait."
"hNut57c3Q7qPmIGi57LKog","Whitney Houston was recently found dead in a Hotel room with drugs all around her body. She overdosed once she found out Chuck Norris was actually her father."
"dihyxefirfwvvxq_ozhj2a","Chuck Norris? favourite cut of meat is the roundhouse."
"n_uaFmaYRJChd075fCK9Bg","Osama Bin Laden's current location: gaffer-taped to the underside of Chuck Norris' Hummer. Norris will hand him in after he has returned from his road trip to Alaska."
"8fNvcQKqQaiwDDFrC4-wXA","Before the Boogyman goes to bed at night, he checks in his closet for Chuck Norris."
