id,joke
"bnLsv99yTJ60a70357_mSQ","Chuck Norris is Darth Vader's father."
"AnskYGsUQda9vtfDDQkZ0A","Chuck Norris Don't Need To Eat, He Will Find You."
"WCc9J0ERTdSqQgkuL_HlCQ","If you've ever wondered where the wind comes from, it's Chuck Norris breathing. The next time it's really windy outside, Chuck Norris is jogging."
"Yw2zxCdSSJWWGZQUWmd0pA","when a robber steal stuff from people they say its like taking candy from a baby. but when they steal from Chuck Norris it's not as easy as they think."
"p3vkOglzTn6X6Ms72_mT7A","Chuck Norris got so pissed off at IE6 he roundhouse kicked it and to this day it still can't render css properly."
"hjZKeGg2Q1uMJSyiebCmsQ","Chuck Norris does not believe in violence. He only believes in solving problems with an explosive roundhouse kick to the face. And if you argue that a roundhouse kick is violence, Chuck Norris can solve that problem too."
"Zxjn1WAASI27bg51z3YyhA","Bigfoot has a picture of Chuck Norris"
"dn8JnNfwSh-uMxx34lVjjQ","Chuck Norris can drive a frieght train, trim his toenails and butcher a steer at the same time time."
"CrnrGvg9Tn-oiwCGifpEAA","Chuck Norris caused Pompeii to erupt by just going to the lava. He didn't die though cause he's immune to lava."
"s4ymkruzsks7loog8eqsya","Chuck Norris hosting is 101% uptime guaranteed."
"bwGPguRLTQatdtKuteV_0w","Chuck Norris can make jacob from twilight go wolf and run away with his tail between his legs just by entering a hundred mile radius of where jacob is :) :P :O"
"cUBXmg8rRr-om7G8GE_jxw","Chuck Norris doesn't chew gum he chews diamonds"
"YyJgQxHkTXi24GTuo1alIw","Chuck Norris is a supporter of gender equality in the workplace. That's why he makes his female employees work longer hours so they can earn the same as the men."
"SJW5lgSrQ_2CVH8PYrEjiQ","Chuck Norris subscribed to officialpsy after watching Gangnam Style. This is why Gangnam Style is so popular."
"eo5av7meqcwohmnu-_px9a","Chuck Norris can't finish a ""color by numbers"" because his markers are filled with the blood of his victims. Unfortunately, all blood is dark red."
"Bup36JbASxW5R-HzSI5ygA","Chuck Norris once participated in a 100 mt race and obviously came first, but Albert Einstein died after watching that cos light came second."
"Qci4jyzjRpKKz9pxLLewFg","Chuck Norris beat the pebbles from the cement."
"W_Gu0k1TQfm2FUvb8PVAZQ","Chuck Norris owns a copy of Duke Nukem Forever. It will be released due to his neighbor ""borrowing"" it and never returning it. We pray for that man."
"UDB7hYtmQ7q26YrRtfhDRA","i hope Chuck Norris dies in a car crash. he would have 99 lives left"
"tlRJKIjKR9G1di_z-kpfUg","Do you know why Chuck Norris doesn't have hair on his balls.....?????......????? because hair doesn't grow on steel!"
"kuRoMFScSlahqiasvhlh5A","Chuck Norris has won the Super Bowl twice, a World Series, 7 PBA Bowling tournaments, 46 Olympic gold medals, 5 Stanley Cups, 3 World Series of Poker championships, 1,712 pie eating contests, 4,832 pillow fights, and took second at the Westminster Dog Show in 1982."
"9kPDlXDkTBeOCPhzmbzcpg","The only way to make saturday every day is to kill Chuck Norris. Which is 99999999999999999999999999999999% impossible."
"bTzynVPQQ8-Z9LU6vWip6A","some say that Chuck Norris cant die, he just gets bored of the planet after 100 years nd moves on to another one"
"beKSWy4rQ8iSYQdZJbJTmA","Pwnage was originally the term for being touched by Chuck Norris"
"HBlEXg3-Q_iSQCebyptNzg","Chuck Norris was born in a log cabin that he built with his own two hands"
"-lIRrTwZRY2dSpSnyobA2Q","A power drill just wouldn't be... unless it had a CHUCK Norris KEY."
"fIyZwnfjSwqfepNj8zM3Vg","Gangsters scare their children with stories of Keyser Soze. Keyser Soze just says the words 'Chuck' or 'Norris' to scare his; even Soze wouldn't fully say 'Chuck Norris' to his kids, that would be sick."
"XYV8PgfSSyWVK50sYU0niw","Chuck Norris's skateboard has 22"" spinning rims."
"cnPGHq4NR7eIMoVTxHCEQg","Chuck Norris survived Alderaan."
"rlra7cwks9y5vqwuzz8osq","""Let the Bodies Hit the Floor"" was originally written as Chuck Norris' theme song."
"2bYHo6_9RxOq691CHDKLZw","Chuck Norris is the reason why Justin Bieber's voice is so high"
"h2An92gaR-y3wEfEtKr0Bg","Chuck Norris' mother was supposed to have triplets. Only one of them was chuck, the other two didnt stand a chance."
"ZSqaezMQQvOxy5t4YzIupA","When The Four Horseman of the Apocalypse entered this world, the first person they met was Chuck Norris. They now bunk at his horse ranch in Texas and clean the manure from the stables every morning."
"O7kTzE0uT0OJXW5o5UHWFw","Chuck Norris' opinion is considered to be a fatwa in Japan."
"-j_jS99eTIi7hrDpRQ9qLw","Chuck Norris is forbidden from competing in paintball games... for very fucking obvious reasons."
"rnI6YBagTaORv3Q9sWu5Uw","Chuck Norris' avatar is actually shorter than him."
"VEDOQuIsSI-2CAgq3-2DaQ","Chuck Norris is all for same-sex marriage, as long as both chicks are hot."
"Or060Ll-Sn2pOeBv045M5A","Chuck Norris doesn't walk - the world just rolls beneath his feet."
"PPvGo5KUQ9OjcSX0g4z84A","When Chuck Norris gets a hard-on in his pants it doesnt look like a tipi, it looks like a circus tent."
"RY_7-0wGRm2Z0tgQ2biRXg","It's bad for a black cat if it crosses Chuck Norris' path."
"gSktcXdcRJCIZUXnAdUL6w","The only time Chuck Norris ever made a mistake was when he was writing about killing a squadron of ninjas. As he was writing that he 'owned' them, his finger slipped and wrote 'pwned' instead. It immediately became an official, widely-used term."
"KEOFdsYUSG2F7uucPH1Qag","Of course Chuck Norris screwed Madonna."
"lPM2z2alQbCFxbyR5bz_Cg","Chuck Norris does die, but is reborn an adult seconds after he dies."
"-3osgk9FT8iZa8weY7ylTQ","Chuck Norris never wet his bed as a child. The bed wet itself out of fear............"
"cQfhsuPPQ0iqTx1UMsLSmg","If you write ""To Chuck Norris"" on an envelope and post it, it will be delivered to THE Chuck Norris, from anywhere in the world."
"N920gJAjTMCdZOXt7bN0Kg","Chuck Norris can order a Cheeseburger from Burger King."
"5qKwe1QoTRC608YH-Ny2Xw","The US army gave Osama Bin Laden's head to Chuck Norris. It now adorns the hood of his Hummer, which can be seen cruising through the streets of Abbotabad, Pakistan, with the song 'We Are The Champions' blaring from its speakers."
"Vju379FXTsK1D0M6nxewjg","If someone says, nobodys perfect, Chuck Norris takes that as a personal insult."
"50yMiQYcTsGVYHhvIZdB0Q","How much wood could a woodchuck chuck if a woodchuck could Chuck Norris? Fucking ALL of it."
"er5SjvZgTcqNAPIhJd2wHw","Chuck Norris once sang ""Twinkle, Twinkle, Little Star"" at a karaoke bar. Understandably, there were no survivors."
"k-ZvdCQlRnesXRV3kqloMA","Chuck Norris don't do titty twist, he rip your nipple off"
"g8k9ztKGRaK9TTQpu9J1dw","the americans didnt nuke japan, Chuck Norris jumped out of a plane and punched the ground"
"BcuBvmHDR6StWVtBz2X3WA","Chuck Norris is so much if a man that he sees everybody as a woman"
"ddVHUPRmQ_2ysCuyTRgZFw","Sadly, Chuck Norris was hit in a crosswalk by a classic old Mack Truck. Chuck was fine, the Classic old Mack was towed to a junkyard."
"lUYizQy1RnOLnZxP6I5z1g","Chuck Norris' Christmas tree is actually a 20 foot Tesla coil. It is also necessary to power his electric beard trimmer."
"sSTcTXdsSAq_8duAaiEYbw","Chuck Norris claims the greatest comedy ever is ""Saving Private Ryan"""
"SVDmg6M5RQekrwS_1rGRXA","Chuck Norris owns a squad of Oompa Loompas"
"2WgPbV4LRIqHR_QkfTPsEQ","why isnt pisa straight up? i think it is Chuck Norris who...."
"IOwUNIArS_-tesT0G8o8LA","Leonardo Dicaprio has recurring dreams where Chuck Norris pummels the shit outta him after folding the city in half. Then he wakes up in terror, covered in sweat and with a beard rash on the back of his neck."
"ezudm-intc6uvfuzreclpq","If you spell Chuck Norris in Scrabble, you win. Forever."
"j8b4X3dRRPCKCP5cHYxZtQ","Little-known fact: Chuck Norris murdered Heath Ledger when he refused to give up an Olsen twin."
"nSq4-50SSYuoyuBi2yyZPQ","Once Chuck Norris took a Vacation to the bahamas,he was watching oprah when she said somthing funny he pissed himself and laughed so hard is started hurracane katrina"
"uRalRtYsR9uWvc2ldrho7Q","Fifty Shades Of Chuck Norris."
"xkMDfDveQYa1I22FBpaZHw","Chuck Norris doesnt follow the yellow brick road....he made it by turning concrete yellow."
"mMCLcQ8hTEa_27XbEFw-6Q","When Chuck Norris touches a cactus , he doesn't get prickled. The cactus gets Chuck Norris."
"6zF08PdrTr-5nilnkoXxNQ","As a child, Chuck Norris used to engoy making shapes in sandboxes. we call them pyramids"
"7TwVjwMZSXyCkMvV0IVmXg","Some people like to eat frog legs. Chuck Norris likes to eat lizards; hence snakes."
"4bEEYpC7QB2JlvoAJDEnMQ","Fool me once: shame on you. Fool Chuck Norris once: actually, you can't ever fool Chuck, and he'll kill you for even thinking about it."
