id,joke
"SYyYRHcMTfC8rcHUYlVDqw","Chuck Norris never shops at aldi"
"3qiDYGSeRdKpxZYznleT4w","Chuck Norris staged the moon landing in his back garden"
"TUUI3C49TgidSeq2Ev4QlA","Chuck Norris invented the Touch of Death."
"JuZQI1FqQ-abgCX46k8eMQ","If you build it, Chuck Norris will come and kill you."
"knw8s96xQ_eFLvksuOMrnA","Chuck Norris can eat just one Lay's potato chip."
"u23yMmAVQp21JW7HDc14Ew","Before boarding a plane, Chuck Norris personally frisks all TSA agents, pilots, flight crews, baggage handlers, air traffic controllers and passengers. So far Chuck Norris has not discovered any terrorists but has found 3 enlarged prostates, 36 breast implants, one glass eye, 7 pints of whiskey and a gerbil."
"oBGpAuQMQou9SIajdt0h0Q","After years of rigorous and physically demanding testing, it was proved that Chuck Norris was stronger than Chuck Norris."
"TpoNVdfUREacCSqIJsq-2Q","there are no such thing as a tornado Chuck Norris just don't like trailer parks."
"AQqxFsxoRw2zQpMvaymzFA","Chuck Norris knows when you have a gerbil up your ass."
"Scp7NOQLTuKkLv86l_NGzA","Chuck Norris doesn't mow his lawn. Instead, he just dares it to grow."
"LvSi6JwHRhK0uuFPWM-Xaw","The Chicago Cubs just signed Chuck Norris to a one year $2.5 billion contract thus assuring a 2012 World Series title. The contract, however, is contingent upon the Cubs also signing Albert Pujols...as Chuck's personal batboy."
"04UEUXsVRjqQzYNlX_ZkhQ","If Chuck Norris is late....time better slow the fuck down!!"
"r43suA29S7aG10UOYngO7Q","Chuck Norris once roundhouse kicked a mattress for refusing to share with him."
"oVnwQQHfTZ2tTwr8bw8tww","When you're Chuck Norris, all the sperms that didn't make it... MAKE it."
"Kc5dtcjUTLKeqdYhGkSdyg","Whoever hates Chuck Norris is dead in 40 seconds. If one that hates Chuck Norris changed his/her mind then Chuck Norris will teleport to the hater and punch him/her in the back and his/her spine will crack. Don't mess with Chuck Norris"
"5bOoEt74TIqOPiRY-3Tvqg","Chuck Norris is so bad-ass, he single-handedly transformed The Expendables 2 from R to PG-13."
"Cbfg9kCJR8Waartr-4ObZg","Bob the Builder. Can he fix it? .... Not while Chuck Norris is alive."
"Gg-KPU6qTgqlS7Mpk2feFg","Camels have a hump because Chuck Norris needed a place to store his kills."
"MLOlf1ytQral59tQOKytWg","Chuck Norris can smell how tight your wife is."
"W3w4c5MOT3aQsogcPY3xWg","Jigsaw from SAW once woke up and found a recorded message from Chuck Norris that he will die some hours later cause he can't get free of the room he was trapped in."
"-jFIcdyaQiqzgQzePrzIzg","Chuck Norris has made it to the end of the Internet. Twice."
"hutAMSiKS2SaRt0EmFS2gg","Chuck Norris knows all the words in the dictionary, except the word ""Mercy""."
"jwLo4uDlRLG_Y_w_Ljc2_A","If you hate software in school, you should try Chuck Norris' software."
"j1veqesaqs-l65pjc6qwzw","Chuck Norris' Penis is a third degree blackbelt, and an honorable 32nd-degree mason."
"7MX7aZZhRwyU_QOGFCc8zA","Chuck Norris invented walking in slow motion with explosions behind him."
"aWZjSoahTt665G3b7hSTtQ","Chuck Norris ate a 30 pound turkey in 6 minutes... including the bones."
"hzPqMKhEQAy6n4f0oMfLXQ","Hell was created when Chuck Norris walked into a sauna."
"ZHlFVdh5Rrutc3GXNvzjsQ","The first rule of Chuck Norris clearly states ... NOT TO TALK ABOUT CHUCK NORRIS!"
"4vD-NPpQQJylMzhVXSKMqw","""Death be not proud: you're nowhere near as threatening as Chuck Norris."""
"HoB6nO7JQrmjZKsNc2qGtQ","Chuck Norris once wrote a poem so beautiful, it makes menopausal women explode in their pants, and grown men sob awesomeness."
"U5dGzpz7SSW7A2jxQstTAA","In just three easy steps, Chuck Norris can convert his Total Gym into a sex swing."
"tFneNGAVRWGWtV9X0NPF4g","Chuck Norris doesn't pop his collar, his shirts just get erections when they touch his body."
"F3_IdoQJSw6Ekewwo0zxvQ","Chuck Norris is so modest that his ranch isn't called ""Chuck Norris's ranch."" It is simply called ""Texas""."
"wRR3mbdySdO8IrMx4CW48g","only you can prevent forest fires, only Chuck Norris can prevent roundhouse kicks..he just doesn't try"
"dKV1bV6kQfKxa70HYXOSHw","Scientist have tried to come up with a theory for how Chuck Norris came to be... we now know this theory as the ""Big Bang"""
"uRalRtYsR9uWvc2ldrho7Q","Fifty Shades Of Chuck Norris."
"AOYY7s2sQO2bUC2ON8XB9A","There is space, there is time, and there is Chuck Norris. Just kidding, Chuck came first."
"5VKCu8Q1RTm6iggL6N5B6A","CHUCK NORRIS LIKES GREEN EGGS AND HAM FOR MARTHUR LUTHER KING DAY"
"bPMJzyFZTnWi1K86KajYEg","Chuck Norris made Eminem back down."
"N74ch2jCTjKjB-lAfkotkA","Chuck Norris turned down a role in Brokeback Mountain (as Tex, ass-ranger) because of foul language and not enough sex scenes."
"wizK0PyiS5m3ZIRJQSKi0A","Chuck Norris knows theory of Everything, but if he tells you he will have to kill you."
"qjTlPT1aQIez8UB2CyeTPQ","Chuck Norris beet the sun at a staring contest"
"AWl4jao7RyyaPT5xJVsMVw","Actually, it was Chuck Norris that fought The Battle of Jericho. Joshua later played taps."
"c0aYNg0WSnKDAdZumxbM1g","When the Oracle told Chuck Norris he wasn't the ONE, he laughed and roundhouse kicked her in the face."
"HxZCuBMSRNSjvpcTcjLeww","Chuck Norris has wings - on his balls ... of steel."
"61_p867cSCKguMO_4WBAiA","School went to Chuck Norris."
"rlra7cwks9y5vqwuzz8osq","""Let the Bodies Hit the Floor"" was originally written as Chuck Norris' theme song."
"icFza0rDTw2YgNioYo88_A","Fort Knox wanted to store gold in Chuck Norris' beard - but Chuck Norris' beard makes gold rust."
